,C/O ratio,SynGasSelec,SynGasYield,COSelec,COYield,H2Selec,H2Yield,CH4Conv,FullOxSelec,FullOxYield,ExitT,MaxT,DistToMaxT,O2Conv
0,0.6,0.9442480311885058,4.76391895955997e-10,0.937892796444064,4.731855537353633e-10,0.006355234744441747,3.2063422206337828e-12,5.045198721318723e-10,0.9810519392318174,4.949601989359619e-10,700.0000016953134,700.0000016953152,19.994999999999997,8.944416583177698e-10
1,0.7,0.9452200605505506,5.108705316769344e-10,0.9381016149763586,5.070231693250577e-10,0.007118445574192069,3.84736235187672e-12,5.404778770558191e-10,0.9804904855261638,5.299334160906103e-10,700.0000019912643,700.0000019912646,19.996,1.1172434297908177e-09
2,0.8,0.946118367466468,5.436980828317127e-10,0.9382568594777347,5.391803745104101e-10,0.007861507988733259,4.517708321302572e-12,5.746617987003431e-10,0.9799068829160922,5.631150518954081e-10,700.00000228208,700.0000022820809,19.995625,1.3568374962536633e-09
3,0.9,0.9469414217702264,5.752062246577797e-10,0.93835453380057,5.699902405461629e-10,0.008586887969656416,5.2159841116168535e-12,6.074359104309543e-10,0.979290245843073,5.948560620598401e-10,700.0000025674691,700.0000025674699,19.996875,1.6125676141526492e-09
4,1.0,0.9477221136692456,6.056276863712123e-10,0.9384254213323936,5.996867737453857e-10,0.009296692336852003,5.940912625826561e-12,6.390350901768405e-10,0.9786681768589476,6.254033066522617e-10,700.0000028474301,700.0000028474325,19.994374999999998,1.8838914203041046e-09
5,1.1,0.9484631487289231,6.351321550274684e-10,0.9384708071905735,6.284408487563417e-10,0.00999234153834958,6.691306271126741e-12,6.696434709968824e-10,0.9780388006888305,6.549372972628966e-10,700.0000031220687,700.0000031220698,19.996875,2.1703285092310637e-09
6,1.2,0.9491896766451199,6.638470487368302e-10,0.9385144835136812,6.563810009811814e-10,0.010675193131438688,7.466047755648743e-12,6.993829211071659e-10,0.9774245443153473,6.835940329651082e-10,700.0000033915424,700.0000033915436,20.0,2.471486593553598e-09
7,1.3,0.949882691501918,6.91870547388957e-10,0.9385367742167864,6.836064679684954e-10,0.011345917285131573,8.264079420461744e-12,7.2837472835198e-10,0.9768031193443959,7.11478706705841e-10,700.000003656019,700.00000365602,19.994999999999997,2.786968324523076e-09
8,1.4,0.9505455153221127,7.19279806266685e-10,0.9385402733654422,7.101954142311785e-10,0.012005241956670574,9.084392035506571e-12,7.567021196485701e-10,0.9761758496801883,7.386743346027424e-10,700.0000039156971,700.0000039157011,19.99625,3.1164404581633096e-09
9,1.6,0.9518208858500011,7.724913680334933e-10,0.9385284549489091,7.617033213705906e-10,0.013292430901091983,1.078804666290273e-11,8.115932099384834e-10,0.9749387822563597,7.912536957849551e-10,700.0000044214006,700.0000044214037,19.994374999999998,3.816124208707461e-09
10,1.8,0.9530283866894198,8.238534742203468e-10,0.9384877686517491,8.112837135973088e-10,0.014540618037670722,1.2569760623037963e-11,8.644584838466417e-10,0.9737158747657984,8.417369487974485e-10,700.0000049101983,700.0000049102005,20.0,4.568258319598886e-09
11,2.0,0.9541788797851289,8.736249940163099e-10,0.9384261423816662,8.592021374519939e-10,0.015752737403462707,1.4422856564315973e-11,9.155777941899543e-10,0.9725108451715656,8.904093344479902e-10,700.0000053833959,700.0000053834012,19.99375,5.370816314755921e-09
12,2.2,0.9552846445372492,9.219949636116329e-10,0.9383534446201856,9.056537807603204e-10,0.016931199917063572,1.634118285131256e-11,9.651520820354627e-10,0.9713305674098491,9.374817194803033e-10,700.0000058421793,700.0000058421806,19.995625,6.2219723216625836e-09
13,2.4,0.9563436876777575,9.691073989772333e-10,0.9382658720028487,9.50788310187677e-10,0.01807781567490873,1.8319088789556426e-11,1.0133463643499017e-09,0.9701684805784885,9.831167026010796e-10,700.0000062875467,700.0000062875475,19.993125,7.120021206715333e-09
14,2.6,0.9573659060899136,1.0150760373687332e-09,0.9381715469540566,9.947246399693482e-10,0.01919435913585696,2.0351397399384886e-11,1.0602801195569206e-09,0.9690308448236893,1.027444140004005e-09,700.0000067205694,700.0000067205707,19.99375,8.063423484291068e-09
