,C/O ratio,SynGasSelec,SynGasYield,COSelec,COYield,H2Selec,H2Yield,CH4Conv,FullOxSelec,FullOxYield,ExitT,MaxT,DistToMaxT,O2Conv
0,0.6,0.004041957234215502,3.700460309448789e-05,0.0036035728517909453,3.2991141512776855e-05,0.00043838438242455616,4.013461581711032e-06,0.009155119896183183,1.9540992909362642,0.017890013297568043,747.496118972838,747.496118972838,50.006,0.021606061841722018
1,0.7,1.7454986565043824,1.7454589803540406,0.9206587294780333,0.9206378023956617,0.8248399270263492,0.8248211779583791,0.9999772694466456,0.25397243605440323,0.25396666312039495,1550.761223541113,1603.0831401829544,18.340000000000003,0.9999999999938264
2,0.8,1.832667703205571,1.811675454697073,0.9368412302210891,0.9261102046874319,0.8958264729844819,0.8855652500096413,0.988545523843859,0.1638556662315644,0.16197878540966634,1327.2783632847193,1501.9605259855887,16.900000000000002,0.9999999999999979
3,0.9,1.8546129630412158,1.6930172302415485,0.9394184796280128,0.8575652732468254,0.915194483413203,0.835451956994723,0.9128682177791528,0.13911671510504428,0.12699522778123193,1238.854264326921,1449.402328083714,15.875000000000004,1.0
4,1.0,1.8562122540956039,1.539457218906036,0.9369483526205252,0.7770619453681807,0.9192639014750787,0.7623952735378554,0.8293540868019431,0.1344025841679128,0.1114673324564006,1199.2714148762268,1413.2233404040628,15.116153846153846,1.0
5,1.1,1.8525404445566458,1.3986946151683153,0.9331271095720834,0.7045243558708923,0.9194133349845623,0.6941702592974228,0.7550143476101295,0.1354699706548971,0.10228177151477053,1174.919961958463,1385.2436153424258,14.52,1.0
6,1.2,1.84662255483547,1.2751717840173,0.9287561471694259,0.6413458072424505,0.9178664076660442,0.6338259767748495,0.6905427320153766,0.1390100930265318,0.09599240941625294,1157.6194418614423,1362.1552124537861,14.06,1.0
7,1.3,1.839700214052455,1.1679226960776685,0.9241461657767358,0.5866886752849128,0.9155540482757192,0.5812340207927558,0.6348440290198106,0.14376728578692477,0.09126980295021388,1144.0839236082943,1342.3683468928546,13.68,1.0
8,1.4,1.83227911830723,1.0747216815841905,0.9193579271160192,0.5392485716481382,0.9129211911912108,0.5354731099360523,0.5865491075273964,0.1492078482883285,0.08751773024960224,1132.8103487648782,1325.0121634638365,13.35,1.0
9,1.6,1.8163110136300784,0.9207926193455909,0.909614282114894,0.4611358468551998,0.9066967315151844,0.45965677249039105,0.5069575708321534,0.16161329581692777,0.08193108386152792,1115.1873747612333,1295.318024597214,12.86,1.0
10,1.8,1.7995179986572782,0.7997488068720503,0.8996272250119076,0.39981583978027896,0.8998907736453706,0.3999329670917713,0.4444238998825174,0.17523415841523757,0.07787824807553073,1101.518747388574,1270.4497765505296,12.5,1.0
11,2.0,1.7819016613726175,0.70200908833185,0.8894513848339227,0.3504138131291597,0.8924502765386947,0.3515952752026903,0.39396623480954895,0.18984435190625748,0.07479226452036727,1090.543494425705,1248.934950168704,12.24,1.0
12,2.2,1.7638983581275598,0.6219776696699404,0.878923137533715,0.3099218060855404,0.8849752205938447,0.3120558635844001,0.3526153685693044,0.20510079677047816,0.07232169304708015,1081.2183183651125,1229.9944047394542,12.010000000000002,1.0
13,2.4,1.7449991239068732,0.554751827582776,0.8681521366504497,0.2759938259157724,0.8768469872564234,0.2787580016670036,0.31790951639032566,0.2212443707781513,0.07033569091816398,1073.447753904629,1212.9889408068136,11.85,1.0
14,2.6,1.7255561560452364,0.4978299898275247,0.8570204656667303,0.247253900262904,0.8685356903785062,0.2505760895646208,0.28850407915352355,0.23806853224572527,0.0686837426709839,1066.7160482192091,1197.5824897964137,11.71,1.0
