,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],-0.0005622572165801797,0.0008623417528104906,-0.005187652456130551,-0.0037631193804568363,0.0036011157616540443,0.005025774042758936,0.0014246069793486778,0.00817891413673207,0.009603637633459818,-0.0008506334707684892,-0.0016066040289030728,0.0,0.0,0.028705746923561787,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],9.612711985789923e-09,5.114162490009973e-08,1.572869118743231e-08,5.725756967062711e-08,4.107646748157244e-09,4.563655170895343e-08,4.1528906577088315e-08,-1.5925933278725468e-07,-1.1773042890937714e-07,-2.564315259290305e-08,-3.018576492224128e-08,0.0,0.0,-3.2009163205274254e-08,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],5.146167729249685e-05,-5.564126258505795e-06,0.00027872825717000107,0.0002217023240140121,-0.00015310366004928877,-0.0002101293469413099,-5.702577420212618e-05,-0.0005086181052340392,-0.0005656435893963886,1.919955110000378e-05,-0.00016492199276644,0.0,0.0,0.00023616256759736382,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],-0.0005527787253608924,-0.0001561492240175164,-0.0019194838463832454,-0.0015228597658362118,0.0006774087235669083,0.0010740431042253074,0.0003966316938411281,0.0034897774474203377,0.003886422982831406,-4.189260312589743e-05,0.019934715279191644,0.0,0.0,0.691028193026095,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],1.0347510422261159e-07,2.016240633011867e-07,2.136196543039367e-07,3.117685834762324e-07,4.332703146716618e-09,1.024816580976054e-07,9.81489535089262e-08,-8.518260370244077e-07,-7.536770799954775e-07,-1.2286900189019247e-07,1.5164208681968344e-07,0.0,0.0,-4.4852216195415053e-08,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-0.0019870004920473946,0.0022894361111502307,-0.016260968028074443,-0.011985141854220047,0.010861166562649105,0.015138152620470049,0.004276521577691073,0.026308830708054207,0.03058647738857427,-0.0024002240753235975,-0.0019787864933794677,0.0,0.0,0.08910837082215409,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],1.063257974210219e-06,4.223726200359675e-06,-4.2529004967666805e-06,-1.0924324721936315e-06,5.848395109480788e-06,9.0088634586535e-06,3.1604681796142327e-06,-3.26930330530333e-07,2.833537841884673e-06,-3.09542212677994e-06,-4.432228922496766e-05,0.0,0.0,4.336182308079825e-05,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],-0.00035557349634785044,0.0004081620188953484,-0.002917828657988002,-0.0021541127116963678,0.0019507426887090667,0.002714495818169718,0.0007637382308893364,0.004733535286171331,0.005497309668878398,-0.00042810079555833237,-0.0002752868694889827,0.0,0.0,0.01693371167418045,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],0.011594862645082478,0.03128782900278434,0.010123917369317564,0.02981659408781478,0.01291887789057234,0.03261210495592954,0.019690683250020352,-0.09576438232803425,-0.07609255573920595,-0.02237374896123242,-0.022594054920866156,0.0,0.0,0.04640860259083682,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-2.5993792246246266e-08,4.798375140822793e-08,-2.06229134338018e-07,-1.3225162003525662e-07,1.3623815996337962e-07,2.102157026663086e-07,7.397754250593099e-08,2.7352704106871936e-07,3.4750458545994034e-07,-3.891153106984449e-08,-1.769765927431804e-08,0.0,0.0,2.132999280544204e-06,0.0
10,C~[Pt] + [H][H] <=> C=[Pt],-8.872348489288971e-07,7.594432044063302e-06,-2.512205835570836e-05,-1.664039352336439e-05,2.092681651205478e-05,2.940848525986083e-05,8.481666970222025e-06,3.40056065646196e-05,4.248727642096192e-05,-6.320609768049128e-06,-3.592957073706052e-05,0.0,0.0,8.144812070096217e-05,0.0
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],-2.182561941962776e-08,1.7965260559229905e-08,-5.336542221356751e-08,-1.3574560226318936e-08,6.563741797038072e-09,4.6354606923673766e-08,3.97908669795421e-08,1.545640482282907e-08,5.5247272853498005e-08,-5.754266829106921e-09,-1.0160057724016114e-09,0.0,0.0,-1.5265311222053402e-07,0.0
12,O=C=[Pt] + O[Pt] <=> O=C=O.[Pt] + [Pt],2.2773086696401903e-07,2.903096824246995e-07,8.040019118162057e-07,8.665807141872486e-07,-2.909775183781215e-07,-2.2839871060798745e-07,6.257880234811359e-08,-2.2824384547407734e-06,-2.2198596597245863e-06,-1.767978956377935e-07,-2.646117139691107e-09,0.0,0.0,9.664147447630756e-08,0.0
13,O[Pt] + [Pt] <=> [Pt] + O=[Pt],6.18902933511123e-07,-8.782167724283591e-08,4.02488488590792e-06,3.318160223116364e-06,-2.446861718060734e-06,-3.1535863209204043e-06,-7.06724616912411e-07,-7.701183855854538e-06,-8.407908416632784e-06,2.586214471721705e-07,5.049103961779165e-07,0.0,0.0,-5.917490610921217e-06,0.0
14,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],9.802307286336075e-08,-2.4676197773367354e-08,3.5282881238576003e-07,2.3012952654771375e-07,-1.313305994649712e-07,-2.5402986431749843e-07,-1.2269926715610748e-07,-4.841476845272265e-07,-6.068469440643043e-07,2.1977319892066534e-08,7.916286727689609e-08,0.0,0.0,-3.878418794402377e-06,0.0
15,O + [Pt] <=> O.[Pt],4.342401198416416e-08,-8.7199182429948e-08,6.212396669216109e-07,4.906164620952159e-07,-4.7667470674402063e-07,-6.072978996845993e-07,-1.3062319828791327e-07,-1.0623022288680987e-06,-1.1929254231678655e-06,1.0577345896364717e-07,5.035105943178997e-07,0.0,0.0,8.105930244400396e-08,0.0
16,O.[Pt] + [Pt] <=> [Pt] + O[Pt],0.0003592988456369256,-0.0005124181643943136,0.003080526350277338,0.0022087856189010047,-0.002090110226170085,-0.0029618058843574302,-0.0008717138779761679,-0.004765191138138733,-0.005636863477275646,0.00051510787607305,0.000292251976248853,0.0,0.0,-0.013512227939298278,0.0
17,O.[Pt] + O=[Pt] <=> 2 O[Pt],2.0371472316019778e-07,-5.9372100421934325e-08,5.128513103830162e-07,2.4976446619651216e-07,-7.454277639829238e-08,-3.376296009068693e-07,-2.630868342160362e-07,-5.23543055928756e-07,-7.866298939943973e-07,7.447734463497751e-09,1.881905102457497e-10,0.0,0.0,-1.5223555102820431e-06,0.0
18,[H] + [Pt] <=> [Pt],2.1178756265454424e-08,5.702379197959814e-08,4.737930960442885e-08,8.322432586236336e-08,-2.4046602000663323e-09,3.344036198015927e-08,3.584503069307005e-08,-2.0076013077497633e-07,-1.6491509590981529e-07,-2.7375491936098044e-08,-2.7731413098425944e-08,0.0,0.0,-2.1470162416952718e-08,0.0
