,C/O ratio,SynGasSelec,SynGasYield,COSelec,COYield,H2Selec,H2Yield,CH4Conv,FullOxSelec,FullOxYield,ExitT,MaxT,DistToMaxT,O2Conv
0,0.6,1.6184339611224234,1.618433930237192,0.9041603901952912,0.9041603729408317,0.7142735709271322,0.71427355729636,0.9999999809165945,0.38123183423184503,0.38123182695664337,1823.516913269333,1844.1977698321045,10.51,0.9999999942207786
1,0.7,1.3831094457075175,1.0367516058423967,0.6018394395225669,0.45112699311017224,0.7812700061849506,0.5856246127322247,0.7495803091071044,0.4963329984567809,0.3720414424032898,1613.048712975359,1613.048712975359,70.0,0.837119370123459
2,0.8,1.3320039894323128,0.7001864060407331,0.5585142643264435,0.29359078393442667,0.7734897251058694,0.4065956221063065,0.5256638956007526,0.5729666215464299,0.3011878663312984,1494.9953271263967,1494.9953271263967,70.0,0.7193798814753528
3,0.9,1.3986762396638701,0.646314756162141,0.5953298982481671,0.2750961853150264,0.8033463414157029,0.3712185708471145,0.46209032357442725,0.5495693899858267,0.2539506972451513,1424.0011232026868,1424.0011232026868,70.0,0.7074300699865154
4,1.0,1.5657056124034203,0.8874980224644631,0.7029413322529822,0.39845232548244386,0.8627642801504383,0.4890456969820192,0.5668358185815776,0.40755057390527694,0.2310142631729894,1413.8752239754476,1413.8752239754476,70.0,0.8613460674589879
5,1.1,1.5837285832971837,0.8731562280424691,0.7120311427031571,0.3925637469503157,0.8716974405940265,0.4805924810921532,0.5513294621636711,0.3914608966063939,0.2158239255841116,1396.7255864744602,1397.1507306430876,20.16,0.9071527424605015
6,1.2,1.5721417395396786,0.7951100096030633,0.7012587744051408,0.3546613239940835,0.8708829651345379,0.44044868560897993,0.5057495705418207,0.4026397358914919,0.20363487351019413,1377.5545111992878,1378.0745562606694,20.200000000000006,0.9147592688428589
7,1.3,1.5549306071950642,0.7175312171636058,0.6867598590533839,0.3169090860296271,0.8681707481416802,0.4006221311339786,0.4614554590689798,0.41936095211606317,0.19351640067432238,1360.1438068463713,1360.6353636055385,20.26,0.9155222432214906
8,1.4,1.5361167410595877,0.6486884872102765,0.6712539431475006,0.2834645917691969,0.864862797912087,0.3652238954410796,0.422291138343315,0.43781173531087714,0.18488401608449243,1344.4916798053482,1344.919760414151,20.33,0.9148841051408568
9,1.6,1.4973881995975846,0.5369890467425112,0.6397205959239437,0.2294147590311382,0.8576676036736409,0.307574287711373,0.358617122057476,0.47615177737408454,0.1707561800644462,1317.314124113875,1317.6039480184602,20.49,0.9137705554893432
10,1.8,1.4588676505884297,0.45229003164893467,0.6087153155087949,0.1887188801572345,0.8501523350796348,0.26357115149170024,0.31002814509356275,0.5144674728771222,0.159499396327067,1294.1461364366542,1294.3319099426633,20.67,0.9141335282520586
11,2.0,1.4210444542157281,0.3865663822510285,0.5787790297438214,0.1574451207258743,0.8422654244719067,0.22912126152515422,0.2720297602965375,0.551987295856562,0.15015697177859452,1273.8116787079862,1273.9327520912357,20.82,0.9157532594567311
12,2.2,1.3841060856957754,0.3343925709986872,0.5502472942592964,0.13293678086816818,0.833858791436479,0.201455790130519,0.24159461074155425,0.5884015684432353,0.14215464788776344,1255.5772552006117,1255.6617977317565,20.91,0.9182030363458855
13,2.4,1.347995579277496,0.2920646980250647,0.5231451360519591,0.11334772052159918,0.8248504432255369,0.17871697750346552,0.21666591679893096,0.6237547056900246,0.13514638516597652,1238.9647909297598,1239.0314769713755,20.9,0.9210445936873511
14,2.6,1.3127342646261604,0.2571898098313862,0.49737377734814303,0.09744505849987539,0.8153604872780175,0.15974475133151078,0.1959191717332285,0.6580459749593293,0.1289238223764166,1223.6664457118252,1223.7281986742928,20.82,0.9241231936697485
