,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],0.1267486629846513,0.10528046692044415,-0.005396000215378234,-0.02683586311610835,0.9136722355293505,0.892035315025681,-0.02144101985821415,-0.005405190323693516,-0.026845051253978725,-0.0012604007165140472,-0.0012604007165140472,0.0,-0.026831146197119567,-0.059310239105483754,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],-8.891029513112283e-06,-7.382393077460968e-06,-1.0570373662326015e-05,-9.061737249939658e-06,1.1094915788802253e-06,2.6181281525446664e-06,1.5086365687072076e-06,3.792995309699873e-07,1.8879361127548312e-06,7.941340716573735e-08,7.941340716573735e-08,0.0,1.6917708004388065e-06,4.358491379361155e-06,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],0.012478426217048021,0.007694981291793291,0.015073582754805373,0.01029001370716413,-0.0029757722692693054,-0.007758478043698816,-0.004782848101084412,-0.0005351501195491737,-0.005317972625215325,-0.00023085691667088009,-0.00023085691667088009,0.0,-0.005037555140345497,-0.010754361324662686,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],-0.5139975273510511,-3.9562543088923134,-0.14432830191487706,-3.5993757913603193,-2.715383648406304,-6.081471560803608,-3.460041308311302,0.017619021868795333,-3.4430319118772803,-0.1542571980953527,-0.1542571980953527,0.0,-3.4443258234067318,-7.601406579057094,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],-0.321964830332123,-0.2520872991533378,-0.384228401715787,-0.31439451931722356,0.04881572823237743,0.11895318859212287,0.07010323895313443,0.013731715472628992,0.08384458080308001,0.0035684927603833777,0.0035684927603833777,0.0,0.07671186422668817,0.1656615193159699,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],0.04547584628519304,0.20724932577054228,0.034666045862079546,0.19642204590609214,0.10984837985149583,0.2717259496882607,0.1616999450668905,-0.0016496013167421047,0.16004767634573533,0.007182816137479399,0.007182816137479399,0.0,0.16062141160129909,0.3795695624144053,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],1.7918500888765714e-09,5.47377143023311e-10,1.7727322014588648e-09,5.282539101899125e-10,1.9057420998522344e-09,6.612676032072404e-10,-1.2444715211336054e-09,1.1871009686782892e-09,-5.737277296737039e-11,-7.815570509007652e-12,-7.815570509007652e-12,0.0,2.009937068756427e-10,3.3408641571065118e-09,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],5.977151340646105e-09,-2.9943832511983076e-08,-4.988255658225267e-09,-4.090923718984109e-08,7.127630964648183e-08,3.535532686789007e-08,-3.592097990827524e-08,1.9104063499443856e-09,-3.40105692296747e-08,-1.5524297206890179e-09,-1.5524297206890179e-09,0.0,-3.403722938379712e-08,-7.617170278202847e-08,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],-6.411155602539377e-05,-0.00027265089741293947,-5.024879885677164e-05,-0.00025878816915377847,-0.00014666449555677378,-0.00035520366479879236,-0.0002085394750890416,2.59611949536707e-06,-0.00020594336100899453,-9.246288024511121e-06,-9.246288024511121e-06,0.0,-0.0002068494693979061,-0.0004986493660157409,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],5.102239156687818e-08,3.093267412537411e-07,3.521991529929162e-08,2.9352425102794913e-07,1.451263594580491e-07,4.03430709014671e-07,2.583043436507941e-07,4.2466919141238866e-09,2.625510408267698e-07,1.1748384197641513e-08,1.1748384197641513e-08,0.0,2.62574574584197e-07,6.508003378043486e-07,0.0
