,C/O ratio,CH4 in,CH4 out,CO out,H2 out,H2O out,CO2 out,Exit temp,Max temp,Dist to max temp,O2 conv,Max CH4 Conv,Dist to 50 CH4 Conv
0,0.6,0.042206109311924665,8.066106465493399e-10,0.038169685984385436,0.06028483184674049,0.024099200865934034,0.004036416099735581,1823.4870340192724,1837.8907711757731,10.62,0.9999999942380484,-0.5122393509222447,20.020000000000003
1,0.7,0.04764223879568619,3.7556268027872104e-08,0.04399224051627877,0.07851391442746987,0.016768151608810518,0.0036499510546974144,1550.0685811388544,1569.4617760818535,10.78,0.9999999999944812,-0.18066435392516245,70.0
2,0.8,0.052736575707115416,2.543941998883279e-06,0.04767196811159216,0.09734009918590793,0.00812676621384174,0.0050609878763327254,1315.5405479318879,1378.7094587402169,10.900000000000002,0.9999999999999958,-0.1276356033234991,70.0
3,0.9,0.05752037248751414,0.0029441302157098845,0.051201586534899875,0.10313889785110035,0.005995849648430398,0.0033570358057266026,1178.8173519374332,1334.172484620295,11.28,1.0,-0.0992095065775279,70.0
4,1.0,0.06202118410625546,0.009039734944590642,0.049354710970679665,0.10039177219884475,0.005517965864156232,0.003574242629898567,1155.6799031981664,1308.1396281825364,11.61,1.0,-0.0809164300138879,70.0
5,1.1,0.0662633991614029,0.015232379644321172,0.047013893166757456,0.09658881501312695,0.005378077446959955,0.003923728219568765,1147.6509490132908,1288.0913089175597,11.9,1.0,-0.06775092263935537,70.0
6,1.2,0.07026868199272561,0.021228798733391067,0.04460796903635032,0.0925906792757784,0.005352267291367098,0.004298483346488235,1144.5429694944564,1271.2578272101523,12.16,1.0,-0.057842979716887635,70.0
7,1.3,0.0740563427297203,0.02697014278070059,0.042248759311324574,0.08861704253409754,0.005380741830366391,0.004668439350386995,1143.5793828861874,1256.5212898784741,12.400000000000002,1.0,-0.050126462901496235,70.0
8,1.4,0.07764364861664726,0.032440354750308785,0.03998741739648791,0.08476173492221795,0.005437788194281909,0.005017250012060463,1143.4713416371987,1243.299812809459,12.62,0.9999999999999984,-0.0439784921851375,70.0
9,1.6,0.08427758988601222,0.04256457233824299,0.03585504086507744,0.07758689125339016,0.005583044570514847,0.005617677245180099,1143.1926868658952,1220.1293518733626,13.03,0.9999999999820368,-0.03483290180618408,510.0
10,1.8,0.09027684884714632,0.05165625678412391,0.03227800352351111,0.07123306866796093,0.005718891900022141,0.006078423959009072,1141.0586219790102,1200.1111361779358,13.39,0.9999999958646736,-0.02841018395425337,510.0
11,2.0,0.09572834938139432,0.05982587272043574,0.02920335496414411,0.06567401240120346,0.005817731274548825,0.006421508061958604,1136.8316849008183,1182.3893175825656,13.73,0.9999998825628192,-0.02369296807548521,510.0
12,2.2,0.10070383531597824,0.0671945889013945,0.02654674470006872,0.060811756457535636,0.0058741552016327424,0.006676725481282619,1131.0215795292813,1166.443774090814,14.06,0.999998949769434,-0.020116000119236678,510.0
13,2.4,0.10526304553491962,0.07387232222488845,0.024231349798865116,0.05653952909141091,0.005892228262274306,0.006867867399976178,1124.1816424125036,1151.927413358893,14.37,0.9999951885253204,-0.017327559238107856,510.0
14,2.6,0.10945612414928066,0.07995241123277508,0.022195960509186537,0.0527630723218355,0.005878778368240729,0.007011532157383063,1116.7344280823902,1138.5939176102936,14.68,0.9999853355158816,-0.015102007251957027,510.0
