,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],-0.00010887382062304758,0.00039128450333895774,-0.0015433840159105776,-0.0010432328668005782,0.0013080551109734128,0.0018082205218130038,0.000500158868494282,0.0032298663743213574,0.0037300413972781604,-0.0003045613351981703,-0.0019567884798968723,0.0,0.0,0.00574697888647189,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],2.364411304084386e-06,4.551760445832972e-06,5.806177846307288e-06,7.993527048694555e-06,-1.0351731711295586e-06,1.1521758686238407e-06,2.187349084012508e-06,-3.078382006101227e-05,-2.859647164679355e-05,-2.8402326740539785e-06,5.860556736231612e-06,0.0,0.0,-6.534414921352563e-06,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],5.973552629108977e-05,-3.5008423012586017e-06,0.0003077262671198199,0.00024448974170702113,-0.000185215856138717,-0.00024845206984662943,-6.323633082910232e-05,-0.0008109375322294791,-0.0008741733502532201,1.630640730856624e-05,-0.00019783831070771914,0.0,0.0,0.003488651323058588,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],-0.0010823956517883068,-0.0058611747209302055,0.0038839945458673387,-0.0008950218586713405,-0.005987918094022389,-0.010766462736562768,-0.004778830795010778,0.007979129369559957,0.0031999172654616575,0.00406965096530731,0.01568970376999836,0.0,0.0,0.45144896266140666,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],0.00038152925221684905,0.0008805255917856946,0.0007820607476675463,0.0012810590858535577,-1.4093355250377442e-05,0.00048490101015632363,0.0004989944357481953,-0.005079320556373259,-0.004580351466157832,-0.0005672046929128006,0.0011892654507868288,0.0,0.0,-0.005946730156203464,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],0.0005559797994757616,0.0002968206844134772,0.0021270652490054374,0.0018679020623414264,-0.000995850528913113,-0.001255005622303023,-0.0002591576741980927,-0.006419474607291813,-0.006678615644925917,-8.589235984497251e-05,-0.0037143112382618197,0.0,0.0,-0.23362587787617123,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],6.58740746867433e-07,1.2470265403197166e-06,4.2457258893159734e-07,1.0128583633098285e-06,8.900389550817416e-07,1.478324725274617e-06,5.882857904218541e-07,-4.212228381779436e-06,-3.623942620650578e-06,-7.463020143433468e-07,-1.2823566818611347e-05,0.0,0.0,-4.625115665480132e-05,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],1.8869055966630905e-05,3.1533832570379925e-05,8.595409399784695e-06,2.126018470644397e-05,2.9016789377159627e-05,4.16815672599022e-05,1.266477421069952e-05,-8.869082332467033e-05,-7.602606034302575e-05,-1.8031288217941325e-05,-0.0002546971090362964,0.0,0.0,-0.001412337171702371,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],0.00026806460909406624,0.0006924743736729672,0.0002456357131313641,0.0006700453825123818,0.000290218617965843,0.000714628476547822,0.00042440862688665726,-0.0028201093616154332,-0.002395712703513432,-0.00044848099063116744,-0.0011499678285222634,0.0,0.0,0.004957814433781516,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],1.8121334004467212e-09,2.6924538328234078e-09,-1.5851353314142589e-09,-7.048268614033835e-10,5.167765427569952e-09,6.0480696092421134e-09,8.803162216054142e-10,-3.603711007110558e-09,-2.723400343669361e-09,-2.5701906379298198e-09,-2.6734549338352558e-08,0.0,0.0,4.6305736973266836e-07,0.0
