,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],0.3330437097131606,-0.21960071232724973,0.6684806140976838,0.11398857209779288,0.057672707161226154,-0.49345494390397465,-0.5508099840361024,0.1890699056407831,-0.36278149431239554,0.09816295521751849,-0.019564128989242795,0.3395585738539825,0.0,-0.05489675504642825,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],0.33347450898727493,-0.22001557154376225,0.6720008690009033,0.11664330622446223,0.05556727239906604,-0.4963897315639181,-0.5516504668453878,0.18495947840867816,-0.3677113182628317,0.09856326959952189,-0.018861704066007994,0.3395585738539825,0.0,3.202730759535329e-09,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],0.33357469403775714,-0.2198446160403836,0.6723026392553758,0.11701497567425612,0.05550196963649934,-0.4963835486300691,-0.5515793808461008,0.1841938517176274,-0.3684015044353443,0.09846510248291818,-0.018941152168576506,0.3395585738539825,0.0,0.0007007862049396947,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.33655076275513596,-0.21151585943855858,0.6770007764232465,0.12707451995273028,0.05706433667262535,-0.48947565160423256,-0.5462282867283235,0.1600204131199048,-0.38708195036941867,0.09319418707938852,-0.005951743781158128,0.16977928692699126,0.0,0.7941983900654025,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],0.3334749818045176,-0.22001449687935049,0.6720019296847499,0.1166449675519724,0.05556726261759098,-0.49638913851019356,-0.5516498643989287,0.1849557704496799,-0.36771440220613066,0.09856261332655042,-0.018861338509863105,0.3395585738539825,0.0,-7.726973700976035e-10,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],0.33344007019798116,-0.21999714018412847,0.6716980761155156,0.11639504146730853,0.05575313416557495,-0.4961523607373227,-0.5515979617512359,0.18537016870240794,-0.36725029112108504,0.09854255016620146,-0.019157072714503728,0.3395585738539825,0.0,-0.20972733164473095,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],0.33347492735805984,-0.22001539228437578,0.6720030199170038,0.11664520767259341,0.05556626846734947,-0.49639096610497746,-0.551650702861795,0.1849561657876679,-0.3677148490626863,0.09856324530076481,-0.01886606567109248,0.3395585738539825,0.0,-0.00011286591169030017,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],0.33318093896113077,-0.2201044852310869,0.670379865164587,0.1152349638863665,0.05636343571574367,-0.49539548360266394,-0.5514481042206852,0.18738540461339215,-0.3650960328686184,0.09855535360945845,-0.018774074212213044,0.3395585738539825,0.0,-0.002274977608958949,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],0.3567590995978871,-0.15986777602605812,0.706746895398469,0.18831831650038855,0.0694427997191116,-0.4457049994215638,-0.5147903143337119,0.014051755396209491,-0.5008108960132761,0.06108887145632284,-0.04136989587488754,0.2546689303904869,0.0,0.1860632111115814,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],0.33347449624267933,-0.2200155714694695,0.6720007939159474,0.11664324434533073,0.0555673108316654,-0.49638968063005584,-0.5516504541391786,0.18495958148070174,-0.36771120302969057,0.09856326668333956,-0.01886170161227451,0.3395585738539825,0.0,1.5517877974103724e-06,0.0
10,C~[Pt] + [H][H] <=> C=[Pt],0.33352460648908033,-0.2198575378073198,0.6719829126249831,0.11673402653975806,0.0556732375298777,-0.49617643806320905,-0.5515426139635535,0.18468142684419833,-0.36787978388848136,0.09846272509655586,-0.019085461045214344,0.3395585738539825,0.0,-0.00026962107363540794,0.0
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],0.33347451789191396,-0.22001557624065807,0.6720009287700116,0.116643352065719,0.05556723954741717,-0.4963897777492177,-0.5516504803527655,0.18495940577567385,-0.3677114040275144,0.09856327479721413,-0.018861703452695475,0.3395585738539825,0.0,-1.2614130269404555e-06,0.0
12,O=C=[Pt] + O[Pt] <=> O=C=O.[Pt] + [Pt],0.33347536373810616,-0.22001398654976065,0.6720033569681609,0.1166465179050294,0.05556678638969307,-0.49638948196953503,-0.5516497343297447,0.18495274354866284,-0.3677172820995073,0.09856233954390864,-0.018861750021814214,0.3395585738539825,0.0,1.3880667181489872e-06,0.0
13,O[Pt] + [Pt] <=> [Pt] + O=[Pt],0.33347466045455687,-0.22001619200123992,0.6720029341387685,0.11664458627911087,0.05556585287226814,-0.4963919122132836,-0.5516512353717418,0.18495786339560466,-0.36771369431447604,0.09856375187587255,-0.01886135368157162,0.3395585738539825,0.0,-1.8706397636979608e-05,0.0
14,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],0.3334745514727961,-0.22001558399295282,0.6720011499172632,0.11664353070625187,0.05556711914900087,-0.4963899385174124,-0.5516505213639262,0.18495911455073366,-0.3677117347329217,0.0985632892182731,-0.01886170774785392,0.3395585738539825,0.0,-8.575705520940835e-06,0.0
15,O + [Pt] <=> O.[Pt],0.33347472856746463,-0.22001517871629067,0.6720015958868907,0.11664420414782399,0.05556707551552048,-0.4963897533859635,-0.5516502929666344,0.18495762734419918,-0.36771298491554627,0.09856304062815606,-0.01886102820819897,0.3395585738539825,0.0,-4.877184718264693e-07,0.0
16,O.[Pt] + [Pt] <=> [Pt] + O[Pt],0.33357704529150756,-0.22005989969291082,0.6726974177767198,0.11718921919472985,0.055182164655519984,-0.4969186077358773,-0.5517962792600338,0.18408699466889122,-0.3687250697783267,0.09862017567942451,-0.018865810669107596,0.3395585738539825,0.0,-0.014184999785408242,0.0
17,O.[Pt] + O=[Pt] <=> 2 O[Pt],0.3334745067261714,-0.22001557137953745,0.6720008575101518,0.11664329721811174,0.05556727771486745,-0.4963897238712603,-0.551650464440552,0.18495949321414215,-0.3677113011297534,0.09856326922213003,-0.0188617034216831,0.3395585738539825,0.0,2.0992106042847789e-07,0.0
18,[H] + [Pt] <=> [Pt],0.3334744951163278,-0.22001557260770155,0.6720008500165644,0.11664330011829847,0.0555672627258561,-0.49638972848854346,-0.5516504541572139,0.18495947701827448,-0.3677113069339206,0.09856326610798685,-0.018861717786512033,0.3395585738539825,0.0,-1.9120780653942264e-10,0.0
19,C + [Pt] <=> C.[Pt],0.333912628170896,-0.21967713991604781,0.6738946909191256,0.11842908059361264,0.054810358131648314,-0.4972394703984976,-0.5517474137966618,0.18172257780908696,-0.37102748561092436,0.09843007400124373,-0.020602820124426286,0.3395585738539825,0.0,-0.2501311313985741,0.0
20,[CH3] + [Pt] <=> C[Pt],0.33347450803754825,-0.22001557548372902,0.6720008657880289,0.1166433000237343,0.05556727330721907,-0.49638973364796407,-0.551650469830911,0.1849594927455657,-0.3677113069960823,0.09856327214321199,-0.018861696923344405,0.3395585738539825,0.0,8.546867934713117e-10,0.0
