,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],-2.94891770721247e-07,-2.948916528657187e-07,-1.0553882879222985e-06,-1.0553881852522857e-06,6.676217602062405e-07,6.676218661963412e-07,1.1102230458040276e-13,1.2511488437164493e-06,1.2511489549392156e-06,7.665071483450288e-08,9.137292377191156e-05,0.0,-7.77156121734974e-14,0.0025887823093129377,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],2.3077217473469417e-10,2.3077217913695758e-10,2.6470152494180432e-09,2.64700301962873e-09,-2.8273332811594484e-09,-2.8273488774932603e-09,0.0,-2.7795520051736646e-09,-2.7795520581970416e-09,2.6912815962414955e-10,-7.867035059268971e-09,0.0,0.0,6.725686938721576e-08,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],2.8323426355013353e-07,2.8323417291243545e-07,1.012388394025606e-06,1.0123882905353175e-06,-6.396112027286531e-07,-6.396113237268168e-07,-9.992007412236249e-14,-1.200352342643465e-06,-1.2003524383379653e-06,-7.376716321317778e-08,-7.226608730900326e-05,0.0,7.77156121734974e-14,2.885693170571896e-05,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],5.42863468081075e-05,5.428632601499813e-05,0.0001941544206577953,0.0001941543998623626,-0.00012273605231079548,-0.00012273607311650674,-2.0794477647909438e-11,-0.00023019103186961855,-0.000230191052654523,-1.4126584804580558e-05,-0.008035606731510518,-0.09541984732825917,1.619815402301896e-11,0.022803687228853967,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],8.978507569284304e-07,8.978504859338179e-07,3.2105440791797767e-06,3.2105437965768956e-06,-2.0291826181023773e-06,-2.029182921032316e-06,-2.775557614510069e-13,-3.8066072230988472e-06,-3.806607499544211e-06,-2.3376268203565181e-07,-5.601882527849556e-06,0.0,2.220446062099926e-13,-2.095581378760953e-09,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-2.449338865401903e-06,-2.449337924278442e-06,-8.76042805998236e-06,-8.760427134153003e-06,5.538217673830777e-06,5.538218587683844e-06,9.325873584753833e-13,1.0386333617049642e-05,1.038633455770402e-05,6.373082002406726e-07,0.0007348624842616282,0.0,-6.661338186299777e-13,0.014489865025238321,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],-3.535401563279001e-06,-3.5354005331126776e-06,-1.2642788023383431e-05,-1.2642787011971172e-05,7.991256066397055e-06,7.991257073672046e-06,1.0214052021397055e-12,1.4989466977293887e-05,1.4989468005758701e-05,9.201840157867496e-07,0.001072543594595307,0.0,-9.658940370134677e-13,0.01128831680137881,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],-9.032113393535548e-07,-9.032109998606732e-07,-3.229845468435587e-06,-3.22984514936005e-06,2.041466055520122e-06,2.0414663586843827e-06,3.330669137412083e-13,3.82927674800684e-06,3.829277083121694e-06,2.3508192622916154e-07,0.00027087245563479624,0.0,-2.331468365204922e-13,0.0027661662274334866,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],1.3988719934316169e-06,1.3988754501432665e-06,5.001932630088915e-06,5.001936078024577e-06,-3.161299763986672e-06,-3.1612963272525937e-06,3.452793672450526e-12,-5.930485865837293e-06,-5.930482411949844e-06,-3.6418896626899817e-07,-0.00034426863834595206,0.0,3.9968029117798663e-13,0.0051661022239849475,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-1.1906856368713258e-09,-1.1906856595851204e-09,-2.3760507795576437e-09,-2.3760508248837382e-09,3.0952686915189526e-10,3.0951133265755303e-10,0.0,2.9527926399631316e-09,2.9527926962912866e-09,5.677452044183841e-10,3.013622461854423e-08,0.0,0.0,4.967202974645802e-07,0.0
10,C~[Pt] + [H][H] <=> C=[Pt],-6.596119086918893e-08,-6.596116468726831e-08,-2.3464405584052578e-07,-2.346440480363657e-07,1.475302820065453e-07,1.4753028482086706e-07,2.2204460916080552e-14,2.7819711718159557e-07,2.7819713704780837e-07,1.734394080549666e-08,1.948572269392832e-05,0.0,-2.2204460620999257e-14,0.00018554444483781854,0.0
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],-1.163766789854116e-09,-1.1637668120544005e-09,-5.1703925979725245e-09,-5.1703926966041295e-09,3.9071414274977825e-09,3.907125959632367e-09,0.0,5.971334898105037e-09,5.971335012015603e-09,1.6218263399885625e-10,4.1708519795068255e-07,0.0,0.0,3.979801263823824e-05,0.0
12,O=C=[Pt] + O[Pt] <=> O=C=O.[Pt] + [Pt],2.5525680063172392e-08,2.5525666830000398e-08,9.05968753256224e-08,9.059685249330059e-08,-5.683092055213293e-08,-5.683095272105061e-08,-1.1102230458040276e-14,-1.0737230040461876e-07,-1.073723024528776e-07,-6.672617753779959e-09,-1.9369519578970672e-07,0.0,2.2204460620999257e-14,1.1024653472026581e-07,0.0
