,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],0.0059668727226148,0.005937125790306225,1.1784109377377697e-07,-2.962731640569036e-05,0.9119303224310206,0.9119003060184405,-2.9745157457034713e-05,-0.005853070179841324,-0.005882813596291001,-6.514514725019177e-07,-6.514517810446782e-07,0.050000000000007816,-0.003929464747634217,-4.157590282845878e-05,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],1.2816313241092125e-08,-5.0171112464325987e-11,1.2815252348243814e-08,-5.1244022023463544e-11,1.297817454210798e-08,1.1168362649417619e-10,-1.2866494712456352e-08,1.2999610783004179e-08,1.3311789864190484e-10,1.6239092761165442e-13,-1.4615183485048854e-13,0.050000000000007816,5.5928618912103075e-09,1.0660487904733019e-06,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],0.002529638522818184,0.0017029151734543062,0.002551300506903311,0.001724576978448228,-0.0007594132675966839,-0.001586109426286453,-0.0008267024367836181,-0.0024817538413420075,-0.003308435761403089,-2.5455084821980014e-07,-2.5455115676256187e-07,0.050000000000007816,-0.0016543076038539315,-0.0008219236174549158,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],-0.006155466830118192,-0.9901047184399707,-0.00021994432803300088,-0.9842276020623063,-0.9073767418100993,-1.8824578875561326,-0.984009822008058,-0.007441609378889778,-0.9913782052197424,-0.00011454579968482717,-0.00011454579999336959,0.050000000000007816,-0.9860303845521114,-0.9896226866354804,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],-0.0010358395874561748,-0.0006996097805825458,-0.0010447086119929681,-0.0007084788349434012,0.0003107905698007571,0.0006470249044965196,0.0003362332897059578,0.001016230107627151,0.0013524668142312754,1.0397116490249525e-07,1.0397085635973248e-07,0.050000000000007816,0.0006751405339977478,0.0005959212738745757,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-7.73084319995587e-06,0.00017700070192874768,-8.312474746488423e-06,0.00017641906929894335,8.058130186818908e-05,0.00026531301013843803,0.00018473155940975148,-3.4686324858028857e-06,0.00018126292051172434,2.1021911556647695e-08,2.1021603013885167e-08,0.050000000000007816,0.00018220353705888063,0.00018762458712330113,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],2.8274420076502507e-08,3.970337636105199e-10,2.827433465935477e-08,3.969392687140327e-10,2.828803290924709e-08,4.1065519387599897e-10,-2.7877390592727224e-08,2.8312951157723634e-08,4.3556206767251576e-10,1.5102356267883862e-12,1.201692864326239e-12,0.050000000000007816,1.1546538892080187e-08,-0.0,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],2.0033486756427558e-08,3.950370128616817e-09,2.001595710358596e-08,3.932828892066645e-09,2.269572130606235e-08,6.612603960596936e-09,-1.6083121522912198e-08,1.9907528384637917e-08,3.824412899670516e-09,1.7375829254447023e-12,1.4290401629825545e-12,0.050000000000007816,1.2629034819167111e-08,1.0660487904733019e-06,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],5.095885935139162e-06,-4.060156469547423e-05,5.248453558418338e-06,-4.044899715425008e-05,-1.8069250754489048e-05,-6.376669081075223e-05,-4.569744830667184e-05,2.4697218526826686e-06,-4.322772757830838e-05,-5.027541923393015e-09,-5.027850466155462e-09,0.050000000000007816,-4.399850422841804e-05,-4.264195161893207e-05,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-2.9752995675142053e-08,6.7020168912817536e-09,-2.9770866358868275e-08,6.68414049444385e-09,-2.704029501961205e-08,9.414707211491494e-09,3.645500779335234e-08,-2.9945321607737075e-08,6.5096838840188915e-09,1.3640837919378972e-12,1.0555410294757504e-12,0.050000000000007816,8.479500830739372e-09,2.1320975809466038e-06,0.0
10,C~[Pt] + [H][H] <=> C=[Pt],-2.1503382051618575e-08,4.229565834424873e-09,-2.5033401741157547e-08,6.995447276939721e-10,5.144771686639231e-07,5.402101165984084e-07,2.573293930744457e-08,-2.8559276547347314e-08,-2.8263382951469085e-09,1.0880192149980846e-12,7.794764525359389e-13,0.050000000000007816,1.9845590002899596e-09,2.1320975809466038e-06,0.0
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],3.1202331149879694e-08,7.334976914320759e-07,2.914869366683795e-08,7.314440402220443e-07,3.430159638852111e-07,1.0453113232536532e-06,7.022953542686049e-07,3.201645495852592e-08,7.343118074346658e-07,8.574240977895353e-11,8.543386701649114e-11,0.050000000000007816,7.391598495789997e-07,2.1320975809466038e-06,0.0
12,O=C=[Pt] + O[Pt] <=> O=C=O.[Pt] + [Pt],-1.2490675727904602e-07,-1.002460107885508e-07,-1.2616708574832572e-07,-1.015063576016357e-07,6.64546525361189e-08,9.1115390097771e-08,2.466073872353731e-08,1.658893432193776e-07,1.9055008868749024e-07,1.4192967073258597e-11,1.3884424310796411e-11,0.050000000000007816,9.525906813842305e-08,-0.0,0.0
13,O[Pt] + [Pt] <=> [Pt] + O=[Pt],0.00010920298192877488,0.000163216524124598,0.00010874864510844326,0.00016276218704510762,0.0001781873054288845,0.0002322008848928863,5.401348320852343e-05,0.00010278865175055521,0.0001568021904796853,1.9128011124284014e-08,1.9127702581521492e-08,0.050000000000007816,0.00025161023301652446,1.5990731857099528e-05,0.0
14,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],-2.201366554642373e-05,0.0032132877620431946,8.267279389899885e-07,0.00323612889446547,-0.0034899894899621704,-0.00025480026188220176,0.00323530213979092,4.4621805862984916e-05,0.003279925389305965,3.7955720825682174e-07,3.795568997140581e-07,0.050000000000007816,0.0032602596835152762,0.003241854371829311,0.0
15,O + [Pt] <=> O.[Pt],1.8727267354795657e-08,-5.724579577210185e-10,1.8727047146136895e-08,-5.726981881758003e-10,1.8760784930878875e-08,-5.389492103094722e-10,-1.9299735804001012e-08,1.8759880073398405e-08,-5.398522888434071e-10,1.8999738530563567e-12,1.5914310905942085e-12,0.050000000000007816,7.577420891500267e-09,-0.0,0.0
16,O.[Pt] + [Pt] <=> [Pt] + O[Pt],1.931990159935332e-08,2.017455876499464e-11,1.9319521664810994e-08,1.9773366911951618e-11,1.9377643804596307e-08,7.790659169668461e-11,-1.9299735804001012e-08,1.9369153538931498e-08,6.942149598784613e-11,3.2478185522330885e-14,-2.760645769398117e-13,0.050000000000007816,8.11866885504373e-09,-0.0,0.0
