Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33)
0.0,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599997,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.765615295400522e-23,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599996,0.11866996602996532,0.02282156769305428,-4.5720451392250713e-110,3.98336741507993e-64,1.2345799829569166e-49,1.010725623016506e-100,2.276333329310238e-54,2.069341323352808e-63,1.488311076522267e-45,-4.5245719438755326e-154,8.813672367155822e-46,8.712804484900077e-97,2.6060788275488295e-67,7.851182645003192e-104,-4.9120281586381424e-119,1.1386977598400992e-60,4.790916332052795e-81,6.335844086780362e-62,1.8422616871169023e-22,-9.903261857637042e-116,3.7162497258504325e-80,2.062514937075437e-18,2.120384885548254e-18,5.480932749033993e-34,1.842261687105941e-22,7.241917821537232e-47,1.2345796728631718e-49,6.911621848060202e-58,1.1878798641525976e-37,3.330869655009627e-53,3.618493146126776e-80
2.734372282712146e-22,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599996,0.11866996602996532,0.02282156769305428,4.627028462857036e-108,8.926311437263807e-63,1.4656934564194582e-48,1.0066917262597931e-98,3.4399949305447216e-53,6.5063401763043605e-62,6.133780648147289e-45,1.2086808644975203e-152,2.4678398553672008e-45,2.4571502718810124e-95,8.193928713363265e-66,4.521884748041707e-102,4.7037286071206415e-117,1.3518619804855226e-59,7.555521545366336e-73,5.3337321957903836e-61,5.158332724549195e-22,1.0022358287190765e-113,2.260776047755425e-78,5.775041823811162e-18,5.937077679535112e-18,3.3104833807301164e-33,5.158332724482993e-22,8.597604838627158e-46,1.4656929879300988e-48,1.0444842745737972e-56,7.174794379501157e-37,3.954408454395659e-52,2.0840667730453205e-78
6.249993789056334e-22,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599994,0.11866996602996531,0.022821567693054278,9.689709017092215e-106,1.765074906213966e-61,1.4390265712754486e-47,8.560480746501752e-97,3.700589572134918e-52,1.4515287020115203e-60,2.3290758329718833e-44,2.0733281884945177e-150,5.640831462924735e-45,5.344838552753202e-94,1.8280204209317834e-64,2.0278084693260943e-100,9.790474686259975e-115,1.3272661088798331e-58,6.799979197137752e-72,4.102787011924608e-60,1.1790474801901258e-21,2.0988359213267352e-111,1.0206223756820284e-76,1.320009559728235e-17,1.3570463267508823e-17,1.5938552438894593e-32,1.1790474801582522e-21,8.441179415550921e-45,1.4390260676408296e-47,1.1236085310001446e-55,3.4543546449843954e-36,3.8824616697801634e-51,9.345830146624516e-77
1.3281236801744709e-21,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599992,0.1186699660299653,0.02282156769305427,1.5571907756180572e-103,3.1419892091070886e-60,1.272802723808941e-46,6.273979983897962e-95,3.40147937523853e-51,2.718552616111795e-59,8.906886786840179e-44,2.9202719014845578e-148,1.1987000159057131e-44,9.908429906794329e-93,3.423679938796915e-63,7.629164172748212e-99,1.5677234594131917e-112,1.1739518425060038e-57,5.5155763742446365e-71,3.1403198697739945e-59,2.5054758966555295e-21,3.3729474543523024e-109,3.8536758973571265e-75,2.8050203144223703e-17,2.8837234443456236e-17,6.960784596133704e-32,2.505475896516329e-21,7.466127603089102e-44,1.2728022615332002e-46,1.0327898443198326e-54,1.5086074275031354e-35,3.433993379320137e-50,3.5161348825683194e-75
2.734372282712146e-21,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599986,0.11866996602996527,0.022821567693054257,2.2263366534731248e-101,5.300345915704976e-59,1.0698673892207802e-45,4.288168396693742e-93,2.9100372240863984e-50,4.695623591708854e-58,3.464817038259581e-43,3.8828408126313836e-146,2.4680079475392346e-44,1.703005942402036e-91,5.913555689966248e-62,2.641766357848037e-97,2.2369943594516856e-110,9.867772595516654e-57,4.4201469036529434e-70,2.4380273587445785e-58,5.1583327335663e-21,4.822348465972138e-107,1.3370191925725273e-73,5.775041823810228e-17,5.9370776795351e-17,2.9059905479123e-31,5.1583327329851654e-21,6.2757301239655806e-43,1.069866994853736e-45,8.835734966159608e-54,6.298139039999983e-35,2.8864783487379227e-49,1.2175258764964285e-73
5.546869487787496e-21,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599973,0.11866996602996521,0.022821567693054226,3.0094442009775534e-99,8.706579622823205e-58,8.771419284301166e-45,2.834655684378977e-91,2.4060750599477562e-49,7.801848838804214e-57,1.36473384468608e-42,5.0517615366571266e-144,5.006920580435337e-44,2.822607466602056e-90,9.825461239424497e-61,8.789516207970101e-96,3.0207859589735893e-108,8.090196159849786e-56,3.537304866123623e-69,1.9170156863991433e-57,1.0464046423307697e-20,6.5185957406792194e-105,4.4528321559933334e-72,1.1715084842584296e-16,1.2043786149914037e-16,1.1871919608754823e-30,1.0464046420933569e-20,5.145222728509142e-42,8.771416042130772e-45,7.3055572125515e-53,2.572995301171232e-34,2.3665093436377405e-48,4.05078528600585e-72
1.1171863897938197e-20,0.04988683199999999,0.8585084662769803,0.0,0.0,0.1238690038559995,0.11866996602996509,0.022821567693054164,3.9578234147730517e-97,1.4114340790787625e-56,7.103322783247159e-44,1.8435198499074126e-89,1.956580293443197e-48,1.2718982731969448e-55,5.41494401358034e-42,6.514533695782193e-142,1.0085932924750908e-43,4.595884577447796e-89,1.6017981690271517e-59,2.8677103292415385e-94,3.970703027103724e-106,6.551650603291262e-55,2.8313250242869207e-68,1.5194849287679556e-56,2.10754738664699e-20,8.57282911169368e-103,1.4534785899911506e-70,2.3595170880125846e-16,2.425720309067183e-16,4.7988197370173234e-30,2.10754738568733e-20,4.1667347794177683e-41,7.103320176915897e-44,5.940758897592857e-52,1.0400458394816159e-33,1.9164606218350262e-47,1.32157084337048e-70
2.24218527182396e-20,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599901,0.11866996602996485,0.022821567693054042,5.134828330285918e-95,2.2731192257426856e-55,5.717372189931913e-43,1.1893162597954337e-87,1.5780529108743357e-47,2.0541191214631242e-54,2.1570187991216757e-41,8.368130112992859e-140,2.0248705927532472e-43,7.41777633830659e-88,2.5869083382767066e-58,9.266390755544383e-93,5.150212051342238e-104,5.273338387126635e-54,2.2696035848908993e-67,1.2097816530255427e-55,4.2298329007511945e-20,1.1122276359480823e-100,4.697391715874063e-69,4.735534295518257e-16,4.868403697218708e-16,1.9295843227398102e-29,4.2298328968924446e-20,3.353750672296421e-40,5.71737013646476e-43,4.791439044110002e-51,4.1819785784236074e-33,1.5425342358880471e-46,4.2699974101861114e-69
4.4921830358842406e-20,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599806,0.11866996602996438,0.0228215676930538,6.616991275371809e-93,3.648898359730043e-54,4.5878311719601986e-42,7.642027004835283e-86,1.2675779519154516e-46,3.3019365361692477e-53,8.609997123509588e-41,1.0729651570010893e-137,4.059324519015322e-43,1.1920167764993777e-86,4.158379653836306e-57,2.980074797738711e-91,6.635959622994033e-102,4.231521953825495e-53,1.8302599276332315e-66,9.654715438250195e-55,8.474404030846664e-20,1.4332710058609834e-98,1.5106108241620932e-67,9.48756871051906e-16,9.753770473521632e-16,7.738496261817817e-29,8.474404015371351e-20,2.6911737413360248e-39,4.587829600634832e-42,3.848747260539338e-50,1.6771604541095793e-32,1.2377865774897989e-45,1.3729914834135104e-67
