Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),C2H4(52),C2H3X(241)
0.0,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599997,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0040756883276342e-22,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599996,0.11866996602996532,0.02282156769305428,-5.553648509079857e-110,4.451616321020881e-64,1.3418987574992359e-49,1.187340194654244e-100,2.4742089685135566e-54,2.3125945175247529e-63,1.5478257899556622e-45,-5.379691942595415e-154,9.061994450153917e-46,9.737003542500942e-97,2.9124263001270163e-67,9.021303631536166e-104,-5.966624779357278e-119,1.2376817461698387e-60,5.504320875164986e-81,6.7748500315290595e-62,1.8941665380246747e-22,-1.2029460290941053e-115,4.27011028079884e-80,2.12062531902667e-18,2.180125725901899e-18,5.794128906137667e-34,1.8941665380130876e-22,7.871438595140762e-47,1.3418984204551067e-49,7.512430677993297e-58,1.2557587135328098e-37,3.6204133495915266e-53,4.157784305162318e-80,3.780755529370654e-106,2.823538431260734e-84
2.811411927317376e-22,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599996,0.11866996602996532,0.02282156769305428,5.620436559277909e-108,9.975608455354422e-63,1.5931023143094923e-48,1.185433562411789e-98,3.739024596913993e-53,7.271167104193714e-62,6.412793824856046e-45,1.4457331216159174e-152,2.5373707010388713e-45,2.745990793660308e-95,9.157133419523266e-66,5.1958155078282155e-102,5.7136039781351316e-117,1.4693757690565836e-59,8.2123032031662e-73,5.7298810874672616e-61,5.303666307126495e-22,1.2174126305835507e-113,2.5977164386500753e-78,5.93775089327461e-18,6.1043520325253175e-18,3.499653859647993e-33,5.303666307056509e-22,9.344971901154847e-46,1.593101805107325e-48,1.1352785301939864e-56,7.584782629759329e-37,4.298154728599554e-52,2.3946708572347783e-78,2.3242120642532103e-104,1.7176962179344598e-82
6.426084405296859e-22,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599994,0.11866996602996531,0.022821567693054278,1.1770058309354458e-105,1.9725612625361284e-61,1.564117347336903e-47,1.0096032912593973e-96,4.0222720419239146e-52,1.622157382112299e-60,2.4458256349601126e-44,2.494762612370111e-150,5.799762233068945e-45,5.973129778683715e-94,2.0429060870070188e-64,2.33002831557409e-100,1.1892458042890283e-114,1.442641843346977e-58,7.391084150602948e-72,4.4269338922806406e-60,1.2122665847959753e-21,2.5494492282704504e-111,1.1727333742081802e-76,1.3572002041770216e-17,1.3952804645772146e-17,1.6849326864160958e-32,1.2122665847622804e-21,9.174948829588473e-45,1.5641167999458402e-47,1.22128085120603e-55,3.651746338984541e-36,4.219953800173179e-51,1.0738709226533888e-76,1.0429349700299263e-102,7.754501807332047e-81
1.3655429361255826e-21,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599992,0.1186699660299653,0.02282156769305427,1.8915146157571435e-103,3.511333246743046e-60,1.383444100204366e-46,7.405597923840092e-95,3.697160986337308e-51,3.038121250236304e-59,9.381128724305686e-44,3.528510049369616e-148,1.2324741377061706e-44,1.1073175953504133e-92,3.8261370092604046e-63,8.766198369358888e-99,1.9043086327802364e-112,1.2760003730550104e-57,5.995033787259263e-71,3.399107041537862e-59,2.5760664940144746e-21,4.0971084005811132e-109,4.428018085831865e-75,2.8840504338760345e-17,2.96497098722658e-17,7.35854371607788e-32,2.5760664938673196e-21,8.115138340524846e-44,1.3834435977854692e-46,1.1225675369849829e-54,1.5948135662185549e-35,3.732501346661772e-50,4.04017080481476e-75,3.9280915191791057e-101,2.9279523379559695e-79
2.8114119273173758e-21,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599986,0.11866996602996527,0.022821567693054254,2.7043239568319416e-101,5.923406986591698e-59,1.162868133421851e-45,5.063821062466694e-93,3.162999068151271e-50,5.247598936596946e-58,3.655657725993372e-43,4.703195645278355e-146,2.5375483984778876e-44,1.9031960288739077e-91,6.608700195857007e-62,3.0354904655839757e-97,2.717269837839554e-110,1.0725551983657496e-56,4.804389032547562e-70,2.6440335292242805e-58,5.303666316658862e-21,5.857691137767417e-107,1.536285179090479e-73,5.937750893273623e-17,6.104352032525305e-17,3.0720471507889285e-31,5.303666316044519e-21,6.821262755273076e-43,1.1628677048430998e-45,9.603802076514538e-54,6.658032699436725e-35,3.1373922817189397e-49,1.398982878843688e-73,1.3614344353505594e-99,1.0158426849892116e-77
5.703149909700962e-21,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599973,0.11866996602996521,0.022821567693054223,3.6555621709829014e-99,9.730046941683444e-58,9.533895577897512e-45,3.348138856615703e-91,2.615228805418782e-49,8.718964131641792e-57,1.4412684391374277e-42,6.127422584244308e-144,5.148010647914952e-44,3.1544078551162045e-90,1.0980454235084278e-60,1.0099496151286886e-95,3.669338967621476e-108,8.793455527134954e-56,3.844828600165929e-69,2.0812361948252463e-57,1.0758865978777201e-20,7.918117235692751e-105,5.116471091032385e-72,1.2045151812067062e-16,1.2383114123122735e-16,1.255031501610721e-30,1.0758865976267407e-20,5.592483340434341e-42,9.533892055036631e-45,7.940610031853151e-53,2.720023604102056e-34,2.5722237454376285e-48,4.654504163407964e-72,4.532056498191482e-98,3.3831802848948896e-76
1.1486625874468135e-20,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599948,0.11866996602996509,0.02282156769305416,4.807555346206555e-97,1.5773495952914758e-56,7.720795857807917e-44,2.1777085300234644e-89,2.1266606473422393e-48,1.4214112133166255e-55,5.721448567900155e-42,7.907319932578145e-142,1.0370190058371345e-43,5.136135501173445e-89,1.7900911786072782e-59,3.295114839744616e-94,4.823200169162736e-106,7.121168272213233e-55,3.077560062414739e-68,1.650591292977128e-56,2.1669265370332103e-20,1.0413387892548179e-102,1.6701013934886772e-70,2.425995364964697e-16,2.494063830431751e-16,5.073038008625466e-30,2.1669265360187126e-20,4.5289380207281993e-41,7.720793026767728e-44,6.457173432862593e-52,1.0994770303146293e-33,2.083053477855029e-47,1.5185344467467076e-70,1.4790172041769762e-96,1.1043264010918369e-74
2.305357780400248e-20,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599899,0.11866996602996484,0.022821567693054035,6.237259426321892e-95,2.5403267101678485e-55,6.2143682437150524e-43,1.4049918446701515e-87,1.7152288804902727e-47,2.29558292103899e-54,2.2796908107247214e-41,1.0160941448499262e-139,2.08195685256751e-43,8.289743522394351e-88,2.8910020541903842e-58,1.0647483106986905e-92,6.25594598108516e-104,5.731735754095563e-54,2.46726830696904e-67,1.314551346524783e-55,4.349006442271485e-20,1.3510193253559134e-100,5.397479197685791e-69,4.8689557324778915e-16,5.005568666670672e-16,2.0398462847808827e-29,4.3490064381922355e-20,3.6452833547044355e-40,6.2143660147289176e-43,5.2079462837926115e-51,4.420948782949257e-33,1.676622659561508e-46,4.906387113790218e-69,4.779424103397373e-95,3.568992156055844e-73
4.618748166307117e-20,0.04988683199999999,0.8585084662769803,0.0,0.0,0.123869003855998,0.11866996602996435,0.022821567693053785,8.037637986361258e-93,4.077830085056405e-54,4.9866392120570024e-42,9.028119556000866e-86,1.377765154857076e-46,3.6900825479172007e-53,9.100822510583113e-41,1.3030826599717262e-137,4.1738404046342075e-43,1.3321395669656427e-86,4.6472014287603487e-57,3.4242515754103474e-91,8.060678772920427e-102,4.599356972125753e-53,1.9905641856020678e-66,1.0492396514882864e-54,8.713166360457214e-20,1.7409896737453967e-98,1.7357484747444197e-67,9.754876467493133e-16,1.0028578339148379e-15,8.180696054158715e-29,8.713166344097594e-20,2.9251103634257086e-39,4.986637508929639e-42,4.183308861187778e-50,1.7729981943799975e-32,1.3453840927295257e-45,1.5776186907150478e-67,1.5369116772990766e-93,1.1477344248474883e-71
