Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),C2H4(52),C2H3X(241),CHOX(231)
0.0,0.049886832000000006,0.631014654409785,0.0,0.0,0.123869003856,0.2012865879456902,0.1676987576445248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8848737317397813e-23,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599998,0.2012865879456902,0.1676987576445248,-4.1786098499709487e-113,1.1687278102116325e-65,1.5057098028104254e-51,1.212427122720195e-103,4.70903423939253e-56,3.5794897525402093e-65,3.268960510447451e-46,-9.317128164468265e-158,2.8854406767646405e-46,3.4788572606708787e-99,7.646286303029013e-69,2.621236443881321e-106,-1.0362673401393551e-122,1.0205042269621328e-61,3.7340972807399237e-84,1.973728730872459e-62,6.031259163968398e-23,-9.051062770582488e-119,1.2407278575726556e-82,6.752331768659603e-19,3.007334392549111e-18,3.4633293535130366e-35,6.031259163961474e-23,8.832335610335823e-49,1.5057091610077184e-51,1.4298021085446056e-59,5.515643804776959e-38,5.06335059533204e-54,1.208090300874993e-82,2.5357456386995533e-109,1.8937419041388926e-87,4.777433202655255e-98
5.2776464488713876e-23,0.049886832000000006,0.631014654409785,0.0,0.0,0.123869003856,0.2012865879456902,0.1676987576445248,4.228861720247716e-111,2.618997278619215e-64,1.7875788858835773e-50,9.718851805673372e-102,7.116292543874354e-55,1.125448840206e-63,1.0395701015616103e-45,1.9616721240872298e-156,8.07924122012952e-46,9.810934093988093e-98,2.4041147502581743e-67,1.5096983291619938e-104,9.923233682208789e-121,1.2115426182500253e-60,9.214808120893136e-75,1.3271793871675086e-61,1.6887525659504465e-22,9.159910652668207e-117,7.547952966022941e-81,1.8906528952246853e-18,8.420536299137516e-18,2.0918509295601223e-34,1.6887525659462664e-22,1.048574883703248e-47,1.7875779160206192e-50,2.1607170051552092e-58,3.3314488580870296e-37,6.011209826768879e-53,6.957981531082012e-81,1.593579576374414e-107,1.1520556311590278e-85,3.686481485223449e-96
1.20631918831346e-22,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599998,0.2012865879456902,0.1676987576445248,8.855886635513251e-109,5.178764384917854e-63,1.7550556415477094e-49,6.965609868823248e-100,7.655382784417453e-54,2.5108144510501125e-62,2.961962837174564e-45,2.4594882859460682e-154,1.8466871607613386e-45,2.134092463254061e-96,5.363447757588633e-66,6.770124543771098e-103,2.065450119461062e-118,1.1894997269488292e-59,8.293328064838553e-74,7.765311655259005e-61,3.86000586521484e-22,1.918226125558777e-114,3.4075067683619e-79,4.321492331942117e-18,1.924694011231432e-17,1.007136176058961e-33,3.860005865194713e-22,1.0294970388747302e-46,1.755054598294587e-49,2.3244007620050537e-57,1.6039492184317068e-36,5.901841453889964e-52,3.12025096205062e-79,7.060941562191009e-106,5.200929814788955e-84,4.017707854544855e-94
2.5634282751661027e-22,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599996,0.2012865879456902,0.1676987576445248,1.4231908248238893e-106,9.218657948758482e-62,1.552326875878946e-48,4.5881859144452645e-98,7.0366156863903e-53,4.7024775898949365e-61,8.794926846988786e-45,2.5680600262717313e-152,3.9242249585597576e-45,3.956247763783564e-95,1.0045144066461577e-64,2.54709275909903e-101,3.3073520013886037e-116,1.0520990378325572e-58,6.726813446818887e-73,4.599867611105053e-60,8.202512464372348e-22,3.082697344939846e-112,1.2866097203288412e-77,9.183171205376916e-18,4.089974773866792e-17,4.398428279554378e-33,8.202512464284448e-22,9.105784723621516e-46,1.5523259171028966e-48,2.1365247653208913e-56,7.004867632093028e-36,5.2201119297023195e-51,1.1739163963875368e-77,2.6453661331174977e-104,1.9637721387925155e-82,3.286734485773358e-92
5.277646448871387e-22,0.049886832000000006,0.631014654409785,0.0,0.0,0.1238690038559999,0.2012865879456902,0.16769875764452477,2.0347551135212057e-104,1.555131884850954e-60,1.304824288425659e-47,2.9520887687688817e-96,6.019972867969782e-52,8.12236061417564e-60,2.8413569023141854e-44,2.703050394283329e-150,8.079347435363188e-45,6.79977908250869e-94,1.7350488326605016e-63,8.819792248451257e-100,4.719281145973059e-114,8.843526350243932e-58,5.390675606830588e-72,2.9303798839902375e-59,1.6887525665202244e-21,4.4073739632612353e-110,4.463846811837823e-76,1.8906528952246253e-17,8.420536299137506e-17,1.83625722376615e-32,1.6887525664835285e-21,7.653960727589546e-45,1.3048234684361133e-47,1.8278419281651614e-55,2.924394345316303e-35,4.387818612194035e-50,4.0648997731906516e-76,9.148451145022967e-103,6.813237815848672e-81,2.365486680788122e-90
1.0706082796281958e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599979,0.20128658794569018,0.16769875764452472,2.7504743942409667e-102,2.5545275338854897e-59,1.0697737918354463e-46,1.8894621637604696e-94,4.9774299854807436e-51,1.3495423644700092e-58,9.946171001891744e-44,3.0066410563783657e-148,1.6389779913796529e-44,1.1270135164467513e-92,2.8828095862126297e-62,2.934412880752728e-98,6.372809181319222e-112,7.250457205345262e-57,4.313495244044938e-71,2.022560416366238e-58,3.425755207692156e-21,5.957655125839017e-108,1.486647362539784e-74,3.8353244445983866e-17,1.7081659349678921e-16,7.501709917400658e-32,3.4257552075422406e-21,6.275179441730145e-44,1.069773114288489e-46,1.5112950694722082e-54,1.194710510709811e-34,3.59739879901312e-49,1.3524177588541964e-74,3.042416477720341e-101,2.2690926583981743e-79,1.603403897577295e-88
2.15629554911031e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599958,0.20128658794569015,0.16769875764452463,3.617243306952735e-100,4.141175265351247e-58,8.66330555168617e-46,1.2084543000408785e-92,4.0475634066288074e-50,2.2000946623188595e-57,3.688014187233139e-43,3.531010958015191e-146,3.301139496997002e-44,1.835049354760463e-91,4.6997072120221194e-61,9.57361873611301e-97,8.37680423093466e-110,5.871608225780166e-56,3.4509966674313727e-70,1.4848608249784358e-57,6.89976049405983e-21,7.835116798236941e-106,4.8526646043284244e-73,7.724667543345488e-17,3.440390545076168e-16,3.032311092525458e-31,6.899760493453848e-21,5.081803014090284e-43,8.663300049083613e-46,1.2289600780007376e-53,4.829210902148398e-34,2.913266816144393e-48,4.412270086091096e-73,9.92417945228222e-100,7.406696372040759e-78,1.0557531265230589e-86
4.3276700880745376e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599915,0.20128658794569007,0.16769875764452447,4.6929640965784696e-98,6.669376385406916e-57,6.972982015757117e-45,7.730146494628755e-91,3.2645065293741216e-49,3.5531587606820445e-56,1.4164545440952278e-42,4.307406739440988e-144,6.625762547955116e-44,2.961777064736655e-90,7.59003971041546e-60,3.093290133938079e-95,1.0865158499020143e-107,4.7259811186304456e-55,2.7611561234394774e-69,1.133705380152317e-56,1.384777108289041e-20,1.016517792905763e-103,1.5682973518379039e-71,1.5503353740838005e-16,6.90483976529269e-16,1.2192789552356254e-30,1.384777108045379e-20,4.090277184141729e-42,6.972977589157066e-45,9.912008677265068e-53,1.9418044641795275e-33,2.344850581862437e-47,1.4256051314255625e-71,3.206260407262557e-98,2.3937162882125923e-76,6.852983788031607e-85
8.670419166002993e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.1238690038559983,0.2012865879456899,0.16769875764452413,6.047583236756103e-96,1.0705939352763238e-55,5.595378941232967e-44,4.945798800987924e-89,2.6222291901300314e-48,5.711598947586593e-55,5.54765563558546e-42,5.374653850488306e-142,1.327620880877056e-43,4.759496257022641e-89,1.2200767189229165e-58,9.94662211032851e-94,1.3999569566320751e-105,3.7923022160496466e-54,2.2100491597417854e-68,8.851083126872188e-56,2.7743792324932513e-20,1.3099345825250751e-101,5.0434092814334124e-70,3.106072613581629e-16,1.383373820572563e-15,4.889853958526631e-30,2.774379231516059e-20,3.2821898621209813e-41,5.595375403939056e-44,7.961865093443426e-52,7.787504395169434e-33,1.8815949180030667e-46,4.583945841330132e-70,1.0309169416719576e-96,7.697832893597245e-75,4.416928110586411e-83
