,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],-0.00028490319448945073,0.0013586073815680503,-0.005283012613757025,-0.0036395841824020557,0.004282938838880505,0.005926524488116182,0.0016435152584823836,0.006491350273791388,0.008134972218609737,-0.0009713134421805396,-0.0015325472635558121,0.0,0.0,0.03138038024402012,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],-2.7675239383681865e-08,1.5742826827382976e-07,-4.6354767525141676e-08,1.3874873139329778e-07,-1.0603745764717405e-08,1.744997580251049e-07,1.851035100301399e-07,-3.208437447082253e-07,-1.3574023018216562e-07,-4.320821288041293e-08,-1.874077483225494e-08,0.0,0.0,7.057170515067123e-08,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],6.56369688005574e-05,-2.3755088201769173e-05,0.00039170199807475066,0.00030230964958628077,-0.00023235841732079617,-0.00032175020796815305,-8.93919983347591e-05,-0.0005864031184294987,-0.0006757945925718308,3.151960631456804e-05,-0.00015427567652239672,0.0,0.0,0.0005803880653274824,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],-0.0003979860755312811,0.00022113679353170498,-0.0017329396877019134,-0.0011138250836791803,0.0008220466830083768,0.0014411771055939143,0.0006191253330953074,0.0018705211412710673,0.002489658055242022,-0.00025707844861959644,0.014816555074151833,0.0,0.0,0.7712903927436143,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],9.049568371432351e-07,1.7503871876550536e-06,1.8671529457391275e-06,2.712583302637501e-06,2.559235754702334e-08,8.710227008590422e-07,8.454303442391275e-07,-6.75151023563912e-06,-5.9060799416599565e-06,-9.104618034264362e-07,1.2692576833349314e-06,0.0,0.0,-1.1853429298570488e-07,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-0.00060125212924101,0.0017965967372925258,-0.008048339631200031,-0.005650669335656862,0.006204745191765493,0.008602757256795737,0.00239786328373478,0.010231735664729852,0.012629844291507061,-0.0013392710881367242,-0.0013074969116656187,0.0,0.0,0.004019422408028215,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],1.0874595203283638e-06,1.9587378568642803e-06,9.120973469556833e-07,1.7833756645915947e-06,1.2477254607871509e-06,2.119003788161072e-06,8.712783190302247e-07,-4.705754038394276e-06,-3.834475754198152e-06,-9.947987624612418e-07,-1.4171561003015188e-05,0.0,0.0,-1.9330974807252008e-05,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],-4.8737592239681834e-05,0.00018388939273179686,-0.0007717599312549165,-0.0005391346282358414,0.0006120426256619849,0.000844671147765468,0.00023262709834917942,0.0009725145369867235,0.0012051438976733353,-0.00013375484884768928,-0.00014656646307715967,0.0,0.0,0.003269868285802326,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],0.01276430721683375,0.03030791346892535,0.008926683440195288,0.026469616520593355,0.016271565206759302,0.0338157866798423,0.017541367218085198,-0.07668982800449431,-0.05916191323074883,-0.01761592565946591,-0.019572943456617694,0.0,0.0,0.07927500857929341,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-1.1214836787567813e-07,1.3435270350080068e-07,-3.1674932848283623e-07,-7.024826988141268e-08,7.483932062435417e-08,3.2134036538671156e-07,2.4650106578748207e-07,1.1490623854211214e-07,3.6140730865575034e-07,-2.9416926241655354e-08,-2.4410083715926883e-08,0.0,0.0,1.8788912858200488e-06,0.0
