,C/O ratio,SynGasSelec,SynGasYield,COSelec,COYield,H2Selec,H2Yield,CH4Conv,FullOxSelec,FullOxYield,ExitT,MaxT,DistToMaxT,O2Conv
0,0.6,0.9600094797038353,6.7028729701064905e-06,0.9572020478874474,6.683271227378608e-06,0.0028074318163878505,1.960174272788268e-08,6.982090397872258e-06,0.9901420519406448,6.91326131338431e-06,700.0237637077059,700.0237637077066,20.0,1.2444666480022534e-05
1,0.7,0.9601590953588317,7.223548968002572e-06,0.9570733833020063,7.2003342817579925e-06,0.0030857120568254246,2.3214686244579317e-08,7.523283383888562e-06,0.9908096089036247,7.454141467261765e-06,700.0280985408117,700.0280985408117,20.0,1.564756157974444e-05
2,0.8,0.9602919717882192,7.725572224858095e-06,0.9569347505330937,7.698563298361497e-06,0.003357221255125483,2.7008926496597467e-08,8.045024275764618e-06,0.9914548631750475,7.976278442568145e-06,700.0324147806741,700.032414780675,20.0,1.9127095568105877e-05
3,0.9,0.9604100191544533,8.21335586268998e-06,0.9567866367617894,8.182368962903414e-06,0.003623382392663944,3.0986899786567125e-08,8.551926467740345e-06,0.9920816717534596,8.4842095068285e-06,700.0367076697308,700.0367076697311,20.0,2.2878369483418972e-05
4,1.0,0.9605146766066764,8.689969446912977e-06,0.956629454862312,8.65481906444065e-06,0.003885221744364398,3.5150382472327425e-08,9.047201108485982e-06,0.9926928472515631,8.981091828040447e-06,700.0409754066937,700.0409754066937,20.0,2.6897795218948918e-05
5,1.1,0.9606070655652911,9.157630641323844e-06,0.9564635611026107,9.11812990809993e-06,0.004143504462680395,3.9500733223916755e-08,9.533170189555943e-06,0.9932905099272168,9.469207478806964e-06,700.0452178466335,700.0452178466335,20.0,3.1182690213736074e-05
6,1.2,0.9606880853879092,9.617990719334558e-06,0.9562892691217048,9.573951686616328e-06,0.004398816266204428,4.403903271823022e-08,1.0011564487604715e-05,0.9938763024135083,9.950256694314965e-06,700.0494357637231,700.0494357637231,20.0,3.5731019459108425e-05
7,1.3,0.9607584760140699,1.0072309813818996e-05,0.9561068607527714,1.0023543644988651e-05,0.004651615261298555,4.876616883034558e-08,1.0483706431200396e-05,0.9944515274823431,1.0425537874183699e-05,700.053630423232,700.053630423233,20.0,4.054122401614924e-05
8,1.4,0.9608188580862307,1.0521569412353255e-05,0.955916591885913,1.0467886521275104e-05,0.0049022662003176554,5.3682891078149874e-08,1.0950627502576532e-05,0.9950172375664303,1.089606312723268e-05,700.0578033310047,700.0578033310047,20.0,4.561210304923467e-05
9,1.6,0.9609116487673399,1.1407868836492165e-05,0.9555133989100197,1.1343781231353942e-05,0.005398249857320206,6.40876051382244e-08,1.1871922721642734e-05,0.9961234285353794,1.1825900364789833e-05,700.0660902523618,700.0660902523618,20.0,5.6532393011538895e-05
10,1.8,0.9609699442626801,1.2281491221079858e-05,0.9550813909698651,1.2206233700277729e-05,0.005888553292815047,7.525752080212847e-08,1.2780307328449312e-05,0.9972002477771449,1.2744525634597714e-05,700.074308999767,700.074308999767,20.0,6.848678670522925e-05
11,2.0,0.9609964988405432,1.3145545167765822e-05,0.9546220779844979,1.3058348973625062e-05,0.006374420856045258,8.71961941407608e-08,1.3679077065968628e-05,0.9982515976736059,1.3655160535803566e-05,700.0824709206165,700.0824709206165,20.01,8.14724076833777e-05
12,2.2,0.9609935783290314,1.4002212758901384e-05,0.9541368290860605,1.3902306095735686e-05,0.006856749242971027,9.990666316569691e-08,1.4570558091811943e-05,0.9992804287359123,1.4560073536907354e-05,700.0905858699784,700.0905858699784,20.01,9.548783920275854e-05
13,2.4,0.9609631062456172,1.485307319930789e-05,0.9536269040405962,1.4739681594939418e-05,0.007336202205020943,1.1339160436847101e-07,1.545644479249292e-05,1.0002890467234657,1.5460912427216618e-05,700.0986622394047,700.0986622394047,20.01,0.00011053265566804742
14,2.6,0.9609067556345255,1.5699298083325777e-05,0.9530934737248258,1.5571644654946626e-05,0.007813281909699803,1.2765342837915082e-07,1.6338003652559292e-05,1.0012793038045098,1.6358904922790105e-05,700.1067071123068,700.1067071123068,20.01,0.00012660712324268756
