,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],8.956447184853719e-06,-0.00015924154358434986,3.7242541339557165e-05,-0.00013095549699531205,-1.85917009983503e-05,-0.0001867896454260959,-0.0001681979757067412,0.0006221277008871275,0.00045392867877004796,0.00011522205339997538,-0.0016679383923751982,0.0,0.0,0.12338591188118238,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],9.033794630332686e-05,0.00017444018472020657,0.00017029477606035596,0.0002543970817254196,1.2467082171588677e-05,9.656925508974128e-05,8.410216242970216e-05,-0.0009665584522763818,-0.0008824571027536816,-9.88696774374771e-05,0.0003844869029526627,0.0,0.0,-0.01675060316144808,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],-1.0134306977680968e-05,-3.901388246962991e-05,-6.445740729630816e-06,-3.5325317281286135e-05,-1.372664352869842e-05,-4.2606217976828446e-05,-2.8879578416917382e-05,0.0001514146893999633,0.00012253506724477694,2.4624123661401696e-05,-0.0001210657549775589,0.0,0.0,0.013519629286250435,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],-0.008374623338713062,-0.02881143397300689,-0.006321004276869801,-0.026758234640555715,-0.010374666254433312,-0.030811068109524397,-0.020438522283558067,0.1132625135760887,0.09280084210845194,0.017928100083738636,0.02066119097456756,0.3861003861003916,0.0,1.6986873521604828,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],0.00035947044895817866,0.00098075083272544,0.00042017571666939685,0.0010414564775819222,0.0003003488996462305,0.000921628916090722,0.000621278150453742,-0.004233315164160887,-0.003612063314378423,-0.0005910646053750355,0.0020093944093653384,0.0,0.0,0.008299255934392027,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],0.004788681957794874,0.01643935340493444,0.0036286899700928446,0.015279226276861868,0.0059184113221286165,0.017569214384030755,0.011650113560248632,-0.0646331139570827,-0.05299053022800731,-0.01022658171131721,-0.0007293856277874936,-0.23166023166022673,0.0,0.10195755831114012,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],-3.9952468934582884e-08,-4.691676389503246e-08,-6.706241032528364e-08,-7.40267034344759e-08,-1.3549789279187025e-08,-2.05141027588779e-08,-6.964304656480477e-09,1.3295061338873212e-07,1.2598631119383665e-07,-5.998804040554501e-09,-4.801827148679681e-06,0.0,0.0,-5.942056404537628e-05,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],2.9690307758433477e-06,8.543061451249616e-07,3.954848736750826e-06,1.840124076424063e-06,2.0089314733305102e-06,-1.0579314526822248e-07,-2.11472457643814e-06,-4.411333723324756e-06,-6.526058205976665e-06,2.3036736559623026e-07,-7.19347298620991e-05,0.0,0.0,-0.0035952031789797684,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],0.0001740684465205616,0.0005127366463720083,0.0001765565077668437,0.0005152247160381883,0.0001716452954299021,0.0005103134870643984,0.00033866761032909316,-0.0021257473729869424,-0.0017870869618819654,-0.00031249017637329066,-0.0004738996924152031,0.0,0.0,0.010528938058719644,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],1.388343684658179e-08,-1.233141060129121e-08,-4.884832769044281e-10,-2.6703325098066803e-08,2.7880424754683375e-08,1.6655767843273847e-09,-2.621485623803691e-08,-2.36475592884186e-08,-4.986242042676045e-08,-1.7430418754881426e-08,2.779966922314018e-09,0.0,0.0,-1.2220155968978159e-05,0.0
10,C~[Pt] + [H][H] <=> C=[Pt],1.3223403409676625e-06,7.875930792904866e-07,1.6218075466974782e-06,1.0870602852706202e-06,1.0306858299441524e-06,4.959385680231889e-07,-5.347472591473077e-07,-3.4645284536963282e-06,-3.999275701924673e-06,-2.182520593660891e-07,-4.6056905030964106e-05,0.0,0.0,-0.0003927633722255388,0.0
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],3.3270713704891113e-07,8.51919928608913e-07,2.681892117494784e-07,7.874020027053931e-07,3.9554187686491083e-07,9.147546690132399e-07,5.192127773738188e-07,-3.4577226949728295e-06,-2.938509937632777e-06,-5.487909260833876e-07,-2.399879558335836e-06,0.0,0.0,-0.0008338955896547378,0.0
12,O=C=[Pt] + O[Pt] <=> O=C=O.[Pt] + [Pt],4.5093044353789143e-07,1.1590927065280406e-06,5.911680929470801e-07,1.2993303582592702e-06,3.143514048887484e-07,1.0225136656174354e-06,7.081622613845171e-07,-5.283788442191375e-06,-4.575626228637154e-06,-7.07353431062565e-07,2.048570211991821e-06,0.0,0.0,-0.00030462075992179646,0.0
13,O[Pt] + [Pt] <=> [Pt] + O=[Pt],-8.17627164990481e-08,-3.438741991447362e-07,-7.782774478991143e-08,-3.3993922658711915e-07,-8.5595041872745e-08,-3.4770653030221203e-07,-2.6211148848791147e-07,1.2744234878638353e-06,1.012311995530151e-06,1.8440368476762565e-07,-1.0565402001809358e-07,0.0,0.0,0.00013393294537505397,0.0
14,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],9.941541020012836e-06,3.492360845314666e-05,6.824074565227389e-06,3.1806141223516456e-05,1.2977676999604373e-05,3.795974517560945e-05,2.498206493875484e-05,-0.00013553850963912522,-0.00011055647856092964,-2.1832329736672232e-05,1.482332661465208e-05,0.0,0.0,-0.01615313278541022,0.0
15,O + [Pt] <=> O.[Pt],5.032857404144089e-09,-4.232623655535562e-08,-9.874864875467283e-09,-5.7233945598177374e-08,1.9551669114184818e-08,-2.7807432779340196e-08,-4.7359096160435106e-08,9.461655528050043e-08,4.725745510628369e-08,-3.3118636830548963e-10,4.290720754677274e-09,0.0,0.0,-1.0662899589031674e-07,0.0
16,O.[Pt] + [Pt] <=> [Pt] + O[Pt],1.3699216177360757e-07,1.4374895790672593e-06,-9.732338427396501e-07,3.2726357944310405e-07,1.2182538701559259e-06,2.5187512994043057e-06,1.3004974125229222e-06,-2.4954940608479657e-06,-1.194996677620971e-06,-9.676894885341892e-07,4.231278344829297e-06,0.0,0.0,-4.757597266939707e-05,0.0
17,O.[Pt] + O=[Pt] <=> 2 O[Pt],-1.1933045100321723e-07,-3.0676432003473145e-07,-1.6038190154021956e-07,-3.4781576595609203e-07,-7.934996557615442e-08,-2.667838341454602e-07,-1.874338736152897e-07,1.1737500993940982e-06,9.863162155798403e-07,1.3614736278018365e-07,7.475239111233358e-07,0.0,0.0,-9.368510051830895e-05,0.0
18,[H] + [Pt] <=> [Pt],5.333930751482471e-09,-6.681169123922034e-08,-1.9646317341357068e-08,-9.179192587836153e-08,2.966246617030693e-08,-4.248315716425901e-08,-7.214562111131841e-08,1.531832229891363e-07,8.103759291908955e-08,-1.2585359313061657e-09,-1.2946278655403741e-09,0.0,0.0,9.208042297161486e-09,0.0
19,C + [Pt] <=> C.[Pt],4.849637970006881e-05,0.00017962639776705503,3.453561086215468e-05,0.00016566561063284996,6.20929309451747e-05,0.0001932229668311264,0.00013112995446578824,-0.0007059141981357827,-0.0005747851693434182,-0.00011285076442215331,-0.0023405622294338582,0.0,0.0,-0.17538725997926768,0.0
