,C/O ratio,CH4 in,CH4 out,CO out,H2 out,H2O out,CO2 out,Exit temp,Max temp,Dist to max temp,O2 conv,Max CH4 Conv,Dist to 50 CH4 Conv
0,0.6,0.042206109311924665,8.066106537584783e-10,0.0381696862027967,0.06028483162716682,0.024099201085288666,0.004036415880461009,1823.4870332396958,1837.822162473431,10.62,0.9999999942380484,-0.5158652844640954,20.020000000000003
1,0.7,0.04764223879568619,3.7552041891078145e-08,0.04399260655784492,0.07851354879397479,0.016768517409776914,0.003649585133346046,1550.067196205448,1569.5300193515125,10.76,0.9999999999944822,-0.19980150769168886,70.0
2,0.8,0.052736575707115416,2.5064055131897204e-06,0.04764186373166009,0.09737042452593275,0.008096539463181654,0.005091153444225803,1315.6590233871475,1378.6579433122583,10.88,0.9999999999999958,-0.13899867967112423,70.0
3,0.9,0.05752037248751414,0.002892728835780931,0.05126994879246271,0.10327710799485658,0.0059607677055782265,0.003340395813688328,1177.2964645667391,1334.014217708089,11.250000000000002,1.0,-0.10746777520494809,70.0
4,1.0,0.06202118410625546,0.008974801287018297,0.04944318242352736,0.10056577210729144,0.005474758287308511,0.0035516110332891055,1153.7964770703381,1307.9149281593502,11.580000000000002,1.0,-0.08704666739308785,70.0
5,1.1,0.0662633991614029,0.015165806385280872,0.04710313962850909,0.09677043749537491,0.005331154030095601,0.003902567216044676,1145.768388870673,1287.817822606854,11.86,1.0,-0.07284154580381116,70.0
6,1.2,0.07026868199272561,0.021163407328022934,0.04469310048913233,0.09277315511774498,0.00530263377291628,0.004280735074463592,1142.741742191284,1270.9449258583318,12.12,1.0,-0.06210876028618369,70.0
7,1.3,0.0740563427297203,0.026906135798230865,0.04232904726900107,0.08879978959349794,0.005328412590523013,0.004654460855242556,1141.8624883466894,1256.1720253182543,12.35,1.0,-0.053768045498680854,70.0
8,1.4,0.07764364861664726,0.032377001552157024,0.04006371960965845,0.08494637017687434,0.0053824635057400086,0.005006762254921916,1141.8159889079955,1242.917361641575,12.570000000000002,0.9999999999999992,-0.04712070473044512,70.0
9,1.6,0.08427758988601222,0.04250014677879398,0.035926778412560666,0.07778057913075465,0.005520954189305643,0.00561285486344503,1141.5897035477196,1219.6849670073657,12.96,0.9999999999902388,-0.037252763847279595,510.0
10,1.8,0.09027684884714632,0.051589255694561215,0.03234787983790341,0.07143876819755295,0.005649996529975352,0.006077934836250522,1139.4597898657528,1199.610251979704,13.31,0.9999999975996893,-0.030341143539651613,510.0
11,2.0,0.09572834938139432,0.059756281351161115,0.029272317439666126,0.06589100367330583,0.00574286340439374,0.006424463288274556,1135.2270591231843,1181.8365030739915,13.64,0.9999999284281562,-0.02527474875585204,510.0
12,2.2,0.10070383531597824,0.06712288333882216,0.026615108499581052,0.061038113366141414,0.0057944079274438376,0.006682427829001737,1129.4139584037073,1165.843169251125,13.95,0.9999993370425382,-0.02143905965284889,510.0
13,2.4,0.10526304553491962,0.07379901162424701,0.024299258297811727,0.05677328063684185,0.005808643100169017,0.006875745345720187,1122.5763548112225,1151.2831898073466,14.25,0.9999968846332653,-0.01845122605561964,510.0
14,2.6,0.10945612414928066,0.07987790482826944,0.022263512741039052,0.05300254248445109,0.0057922543268454545,0.007021126672726666,1115.1366758670204,1137.9099631535337,14.54,0.9999903262319778,-0.016070502918827553,510.0
