,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],0.013069273839255324,0.014521451964388497,0.0006073697467305798,0.0020593669264667744,0.9220072684785957,0.923472644277641,0.0014519883607954252,-0.005463670018043357,-0.004011760989086204,-9.856827521485946e-07,-9.856828333353416e-07,0.050000000000007816,-0.002940319773237733,0.0019295313780148204,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],-2.9925861795861875e-05,-2.2607567883985562e-05,-3.0417008639482288e-05,-2.3098714769492852e-05,5.897076016122213e-06,1.321537256487789e-05,7.318296110334178e-06,1.2495702479224521e-05,1.981399950626468e-05,3.394304265043362e-09,3.3942230782955364e-09,0.050000000000007816,1.2439716486763544e-05,1.222444020749636e-05,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],0.06990631747887875,0.05114313429201244,0.07105215961173125,0.05228876157858523,-0.01366834676803205,-0.032415859642078784,-0.018750075699412803,-0.029280072299831445,-0.0480246579635219,-8.316330609689292e-06,-8.316330690876034e-06,0.050000000000007816,-0.030785191883176376,-0.004562933155345484,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.47098258637046586,-1.0850638092072737,0.49421981299137796,-1.0621864696084289,-1.2238786490401188,-2.753675846605879,-1.548752043148446,-0.20771257442677563,-1.7532476648349131,-0.00037432678791403845,-0.0003743267879952249,0.050000000000007816,-1.630890426759091,-1.6269655452222578,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],-0.47211692230300534,-0.3567855601876384,-0.47986942033131946,-0.36454704169004737,0.09332957439563988,0.2093161671122382,0.11587844385812415,0.19755670153050944,0.3136640710201209,5.37681332757677e-05,5.376813319458091e-05,0.050000000000007816,0.19716306307596496,0.14237419474717092,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-0.08342070035435013,0.38532934153121895,-0.0877356771999532,0.3809941213427094,0.23130218403366884,0.7015287212744085,0.4691414029295427,0.038804613024348365,0.5081280644598508,0.00011029498228907434,0.0001102949822078875,0.050000000000007816,0.48542721342090717,0.5000793301830307,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],-9.256874526326154e-09,-1.1262705357386045e-11,-9.256798842335838e-09,-1.118543250965365e-11,-9.26302908231198e-09,-1.7397529178195498e-11,9.245619360587322e-09,-9.26286242987768e-09,-1.7227377310490537e-11,6.494939825860444e-14,-1.6237349564651098e-14,0.050000000000007816,-2.2238205907632737e-09,1.930174769604689e-06,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],-4.652135589469822e-09,1.3127946497847484e-08,-4.996423737103149e-09,1.2783649325526673e-08,2.045909960613306e-08,3.8239182370463645e-08,1.7780082257902505e-08,-1.6004426378975731e-09,1.6179639544970702e-08,3.1500458155423157e-12,3.0688590677190575e-12,0.050000000000007816,1.694352052291673e-08,1.2867831797364591e-06,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],0.001138984012439766,-0.005164777916089655,0.001197183791255052,-0.005106581805997072,-0.003105952383907082,-0.009409446724769264,-0.0063036901304998425,-0.0005172101839020233,-0.0068208677110714435,-1.4806737097450081e-06,-1.480673790931755e-06,0.050000000000007816,-0.006518150288679739,-0.006652669039237493,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-4.0807997693053155e-07,1.5342199577095145e-06,-3.983966441805889e-07,1.54390329033412e-06,-1.1143566896869088e-06,8.27943235404995e-07,1.9422999437235477e-06,1.9795229409602006e-07,2.140252257134531e-06,4.614817119769492e-10,4.619201204151945e-10,0.0,2.029303551462619e-06,1.2867831797364591e-06,0.0
